drug_id,disease_id,label
DB00158,MESH:D009436,1
DB00162,MESH:D014802,1
DB00165,MESH:D020250,1
DB00165,MESH:D026681,1
DB00169,MESH:D007015,1
DB00169,MESH:D063730,1
DB00175,MESH:D003324,1
DB00175,MESH:D003643,1
DB00175,MESH:D006952,1
DB00175,MESH:D006938,1
DB00175,MESH:D006937,1
DB00175,MESH:D006949,1
DB00175,MESH:D006954,1
DB00175,MESH:D009203,1
DB00175,MESH:D009204,1
DB00175,MESH:D020521,1
DB00175,MESH:D002546,1
DB00175,MESH:D015228,1
DB00176,MESH:D052018,1
DB00176,MESH:D003865,1
DB00176,MESH:D009771,1
DB00177,MESH:D003928,1
DB00177,MESH:D006973,1
DB00177,MESH:D018487,1
DB00177,MESH:D006333,1
DB00178,MESH:D003928,1
DB00178,MESH:D006333,1
DB00178,MESH:D054143,1
DB00178,MESH:D006973,1
DB00178,MESH:D009203,1
DB00178,MESH:D020521,1
DB00180,MESH:D065631,1
DB00180,MESH:D001249,1
DB00181,MESH:D018771,1
DB00181,MESH:D063806,1
DB00181,MESH:D013036,1
DB00182,MESH:D001289,1
DB00182,MESH:D009765,1
DB00182,MESH:D000341,1
DB00182,MESH:D009290,1
DB00182,MESH:D059350,1
DB00183,MESH:C536914,1
DB00184,MESH:D003731,1
DB00185,MESH:D014987,1
DB00186,MESH:D000071,1
DB00186,MESH:D000430,1
DB00186,MESH:D001007,1
DB00186,MESH:D001008,1
DB00186,MESH:D002389,1
DB00186,MESH:D014839,1
DB00186,MESH:D003693,1
DB00186,MESH:D007319,1
DB00186,MESH:D013035,1
DB00186,MESH:D016584,1
DB00186,MESH:D013226,1
DB00187,MESH:D001281,1
DB00187,MESH:D013617,1
DB00187,MESH:D013616,1
DB00188,MESH:D020522,1
DB00188,MESH:D009101,1
DB00190,MESH:D010300,1
DB00190,MESH:D010301,1
DB00190,MESH:D010302,1
DB00191,MESH:D009765,1
DB00193,MESH:D059787,1
DB00193,MESH:D061686,1
DB00195,MESH:D006973,1
DB00195,MESH:D009798,1
DB00196,MESH:D058387,1
DB00196,MESH:D002177,1
DB00196,MESH:D003047,1
DB00196,MESH:D009181,1
DB00196,MESH:D011537,1
DB00196,MESH:D016919,1
DB00196,MESH:D002181,1
DB00196,MESH:D058365,1
DB00198,MESH:D007251,1
DB00198,MESH:D009981,1
DB00199,MESH:D000152,1
DB00199,MESH:D001424,1
DB00199,MESH:D002602,1
DB00199,MESH:D002692,1
DB00199,MESH:D011014,1
DB00199,MESH:D004165,1
DB00199,MESH:D004894,1
DB00199,MESH:D018589,1
DB00199,MESH:D006100,1
DB00199,MESH:D007877,1
DB00199,MESH:D008088,1
DB00199,MESH:D008219,1
DB00199,MESH:D014526,1
DB00199,MESH:D009878,1
DB00199,MESH:D014917,1
DB00199,MESH:D013530,1
DB00199,MESH:D002601,1
DB00199,MESH:D012141,1
DB00199,MESH:D013207,1
DB00199,MESH:D013587,1
DB00199,MESH:D012213,1
DB00199,MESH:D015821,1
DB00200,MESH:D000752,1
DB00200,MESH:D020258,1
DB00200,MESH:D014806,1
DB00201,MESH:D005221,1
DB00201,MESH:D006261,1
DB00201,MESH:D008881,1
DB00201,MESH:D010146,1
DB00201,MESH:D012131,1
DB00201,MESH:D000077,1
DB00201,MESH:D018781,1
DB00203,MESH:D007172,1
DB00203,MESH:D000081,1
DB00205,MESH:D008288,1
DB00205,MESH:D014123,1
DB00205,MESH:C531736,1
DB00206,MESH:D006973,1
DB00206,MESH:D011618,1
DB00207,MESH:D010033,1
DB00207,MESH:D003234,1
DB00207,MESH:D012852,1
DB00207,MESH:D002575,1
DB00207,MESH:D002602,1
DB00207,MESH:D011014,1
DB00207,MESH:D000292,1
DB00207,MESH:D010612,1
DB00207,MESH:D014069,1
DB00207,MESH:D004403,1
DB00207,MESH:D014526,1
DB00208,MESH:D020521,1
DB00209,MESH:D053201,1
DB00210,MESH:D000152,1
DB00211,MESH:D007024,1
DB00213,MESH:D016481,1
DB00213,MESH:D005764,1
DB00213,MESH:D014945,1
DB00213,MESH:D006356,1
DB00213,MESH:D015043,1
DB00214,MESH:D004487,1
DB00214,MESH:D006973,1
DB00215,MESH:D000856,1
DB00215,MESH:D052018,1
DB00215,MESH:D000341,1
DB00215,MESH:D003929,1
DB00215,MESH:D003865,1
DB00215,MESH:D009771,1
DB00215,MESH:D016584,1
DB00215,MESH:D013313,1
DB00215,MESH:D061686,1
DB00215,MESH:D065446,1
DB00215,MESH:D000072,1
DB00216,MESH:D008881,1
DB00216,MESH:D020325,1
DB00218,MESH:D001991,1
DB00218,MESH:D003234,1
DB00218,MESH:D011014,1
DB00218,MESH:D010930,1
DB00218,MESH:D012852,1
DB00218,MESH:D015818,1
DB00218,MESH:D002179,1
DB00220,MESH:D015658,1
DB00222,MESH:D003924,1
DB00223,MESH:D012871,1
DB00224,MESH:D015658,1
DB00227,MESH:D003327,1
DB00227,MESH:D050171,1
DB00227,MESH:D006938,1
DB00227,MESH:D006937,1
DB00227,MESH:D058729,1
DB00230,MESH:D003929,1
DB00230,MESH:D005356,1
DB00230,MESH:D009437,1
DB00230,MESH:D012640,1
DB00230,MESH:D051474,1
DB00231,MESH:D007319,1
DB00232,MESH:D004487,1
DB00232,MESH:D006973,1
DB00233,MESH:D014376,1
DB00235,MESH:D006333,1
DB00237,MESH:D007319,1
DB00238,MESH:D015658,1
DB00239,MESH:D015821,1
DB00239,MESH:D014010,1
DB00239,MESH:D014008,1
DB00240,MESH:D012871,1
DB00241,MESH:D018781,1
DB00242,MESH:D015451,1
DB00242,MESH:C063419,1
DB00242,MESH:D007943,1
DB00242,MESH:D008228,1
DB00243,MESH:D014927,1
DB00244,MESH:D003424,1
DB00244,MESH:D011350,1
DB00244,MESH:D003093,1
DB00245,MESH:D020734,1
DB00246,MESH:D000071,1
DB00246,MESH:D011618,1
DB00246,MESH:D012559,1
DB00246,MESH:D001714,1
DB00248,MESH:D006966,1
DB00250,MESH:D000152,1
DB00250,MESH:D003874,1
DB00250,MESH:D007918,1
DB00250,MESH:D010392,1
DB00250,MESH:D011081,1
DB00250,MESH:D016553,1
DB00251,MESH:D002181,1
DB00252,MESH:D012640,1
DB00253,MESH:D003233,1
DB00253,MESH:D015423,1
DB00254,MESH:D000151,1
DB00254,MESH:D012393,1
DB00254,MESH:D000196,1
DB00254,MESH:D001474,1
DB00254,MESH:D002006,1
DB00254,MESH:D002602,1
DB00254,MESH:D002771,1
DB00254,MESH:D003015,1
DB00254,MESH:D006069,1
DB00254,MESH:D006100,1
DB00254,MESH:D004927,1
DB00254,MESH:D002169,1
DB00254,MESH:D004404,1
DB00254,MESH:D008088,1
DB00254,MESH:D008219,1
DB00254,MESH:D005892,1
DB00254,MESH:D010930,1
DB00254,MESH:D008288,1
DB00254,MESH:D002601,1
DB00254,MESH:D009956,1
DB00254,MESH:D011778,1
DB00254,MESH:D012061,1
DB00254,MESH:D012141,1
DB00254,MESH:D000073,1
DB00254,MESH:D012373,1
DB00254,MESH:C536773,1
DB00254,MESH:D004405,1
DB00254,MESH:D014141,1
DB00254,MESH:D014406,1
DB00254,MESH:D014438,1
DB00254,MESH:D014526,1
DB00254,MESH:D014552,1
DB00254,MESH:D015001,1
DB00254,MESH:D002179,1
DB00257,MESH:D002179,1
DB00257,MESH:D015821,1
DB00257,MESH:D014005,1
DB00257,MESH:D014008,1
DB00257,MESH:D002181,1
DB00258,MESH:D054559,1
DB00259,MESH:D002181,1
DB00261,MESH:D013922,1
DB00262,MESH:D001254,1
DB00262,MESH:D004806,1
DB00262,MESH:D005909,1
DB00262,MESH:D008527,1
DB00262,MESH:D009182,1
DB00262,MESH:C079345,1
DB00263,MESH:D010033,1
DB00264,MESH:D000787,1
DB00264,MESH:D001281,1
DB00264,MESH:D006973,1
DB00264,MESH:D008881,1
DB00264,MESH:D009203,1
DB00264,MESH:D013617,1
DB00264,MESH:D013958,1
DB00264,MESH:D006333,1
DB00268,MESH:D010300,1
DB00270,MESH:D006973,1
DB00273,MESH:D000437,1
DB00273,MESH:D012640,1
DB00273,MESH:D065768,1
DB00273,MESH:D008881,1
DB00273,MESH:D019964,1
DB00273,MESH:D004830,1
DB00275,MESH:D003928,1
DB00275,MESH:D006973,1
DB00275,MESH:C036843,1
DB00276,MESH:D007938,1
DB00277,MESH:D016084,1
DB00278,MESH:D013927,1
DB00279,MESH:D006980,1
DB00279,MESH:D007037,1
DB00279,MESH:D013964,1
DB00279,MESH:D006042,1
DB00279,MESH:D009230,1
DB00280,MESH:D014927,1
DB00281,MESH:D051474,1
DB00281,MESH:D014927,1
DB00282,MESH:D010014,1
DB00282,MESH:D010001,1
DB00282,MESH:C000601,1
DB00283,MESH:D065631,1
DB00283,MESH:D000799,1
DB00283,MESH:D014581,1
DB00283,MESH:D003139,1
DB00284,MESH:D003924,1
DB00285,MESH:D000073,1
DB00285,MESH:D003865,1
DB00285,MESH:D008881,1
DB00285,MESH:D009437,1
DB00285,MESH:D016584,1
DB00285,MESH:D000072,1
DB00286,MESH:D059268,1
DB00286,MESH:D010024,1
DB00286,MESH:D008594,1
DB00286,MESH:C537436,1
DB00287,MESH:D009798,1
DB00288,MESH:D007249,1
DB00288,MESH:D011537,1
