drug_id,disease_id,label
DB01627,MESH:C567379,1
DB00297,MESH:D013921,1
DB00051,MESH:C565798,1
DB01060,MESH:D010033,1
DB14041,MESH:D012008,0
DB06145,MESH:D014605,0
DB09072,MESH:D002385,1
DB00196,MESH:D004387,0
DB00671,MESH:D014435,1
DB00003,MESH:D020513,0
DB11278,MESH:D055756,0
DB00406,MESH:D009181,1
DB00602,MESH:D012532,1
DB00884,MESH:D010001,1
DB00602,MESH:D009814,1
DB00287,MESH:D009798,1
DB01593,MESH:D013622,0
DB06817,MESH:D014352,0
DB00325,MESH:D003440,0
DB05276,MESH:D002051,0
DB00062,MESH:D051556,1
DB00061,MESH:D003448,0
DB00515,MESH:D001943,1
DB06781,MESH:D006471,0
DB00619,MESH:D005499,0
DB13909,MESH:D058387,0
DB14042,MESH:D003027,1
DB00254,MESH:D002601,1
DB00573,MESH:D006333,0
DB01611,MESH:D008180,1
DB00615,MESH:D005356,0
DB01080,MESH:D013226,1
DB00398,MESH:D008630,0
DB00563,MESH:D005738,0
DB09241,MESH:D001471,0
DB00261,MESH:D018357,0
DB00063,MESH:D054058,1
DB09073,MESH:D000275,0
DB01050,MESH:D015210,1
DB00235,MESH:D011629,0
DB00903,MESH:D004487,1
DB06789,MESH:D006457,0
DB00570,MESH:D000744,1
DB00977,MESH:D000505,0
DB08936,MESH:D009041,1
DB00567,MESH:D011472,1
DB00645,MESH:D010612,1
DB09320,MESH:D018549,0
DB01270,MESH:D019263,0
DB00831,MESH:D012559,1
DB00250,MESH:D016553,1
DB00698,MESH:D007827,0
DB09449,MESH:D005879,0
DB00489,MESH:D004485,0
DB00462,MESH:D020529,0
DB00634,MESH:D014647,0
DB00261,MESH:D004387,0
DB13269,MESH:D002822,0
DB09301,MESH:D009855,0
DB13949,MESH:D020096,0
DB01255,MESH:D056912,1
DB06760,MESH:D004403,0
DB00584,MESH:D009164,0
DB08872,MESH:D009087,0
DB00924,MESH:D017114,0
DB00321,MESH:D003863,1
DB04844,MESH:D020820,1
DB00427,MESH:D007429,0
DB06771,MESH:D003234,1
DB13933,MESH:D004621,0
DB08827,MESH:D000437,0
DB00415,MESH:D014552,1
DB00757,MESH:D016781,0
DB00864,MESH:D008059,0
DB00367,MESH:D004714,1
DB06203,MESH:D004393,0
DB00315,MESH:D064646,0
DB01111,MESH:D001424,1
DB04574,MESH:C537436,1
DB00285,MESH:D008881,1
DB01211,MESH:D001474,1
DB09496,MESH:D003327,0
DB10583,MESH:D013375,0
DB09459,MESH:D009471,0
DB01380,MESH:D003424,1
DB01192,MESH:D007565,0
DB01181,MESH:D012516,1
DB04815,MESH:D014006,1
DB15444,MESH:D011141,0
DB00233,MESH:D014376,1
DB00412,MESH:D003924,1
DB00881,MESH:D006333,1
DB00916,MESH:D018461,1
DB00059,MESH:D015523,0
DB08885,MESH:D008268,1
DB00666,MESH:D006950,0
DB04931,MESH:C566881,0
DB12377,MESH:C544287,1
DB01110,MESH:D014010,1
DB04572,MESH:D004393,0
DB00930,MESH:D000151,0
DB00023,MESH:D016849,0
DB04918,MESH:D007943,0
DB09107,MESH:D003693,0
DB04871,MESH:D000073,0
DB00646,MESH:D011539,1
