drug_id
DB00003
DB00004
DB00005
DB00006
DB00007
DB00008
DB00009
DB00012
DB00013
DB00014
DB00015
DB00016
DB00017
DB00019
DB00020
DB00022
DB00023
DB00024
DB00025
DB00026
DB00027
DB00028
DB00030
DB00031
DB00033
DB00035
DB00036
DB00038
DB00039
DB00040
DB00042
DB00043
DB00044
DB00046
DB00047
DB00048
DB00049
DB00051
DB00052
DB00053
DB00054
DB00056
DB00058
DB00059
DB00060
DB00061
DB00062
DB00063
DB00065
DB00067
DB00068
DB00070
DB00071
DB00072
DB00073
DB00078
DB00080
DB00082
DB00083
DB00085
DB00087
DB00089
DB00090
DB00091
DB00094
DB00098
DB00099
DB00100
DB00102
DB00103
DB00104
DB00105
DB00107
DB00108
DB00109
DB00110
DB00114
DB00115
DB00125
DB00126
DB00136
DB00140
DB00146
DB00152
DB00153
DB00157
DB00158
DB00162
DB00165
DB00169
DB00175
DB00176
DB00177
DB00178
DB00180
DB00181
DB00182
DB00183
DB00184
DB00185
DB00186
DB00187
DB00188
DB00190
DB00191
DB00193
DB00195
DB00196
DB00198
DB00199
DB00200
DB00201
DB00203
DB00205
DB00206
DB00207
DB00208
DB00209
DB00210
DB00211
DB00213
DB00214
DB00215
DB00216
DB00218
DB00220
DB00222
DB00223
DB00224
DB00227
DB00230
DB00231
DB00232
DB00233
DB00235
DB00237
DB00238
DB00239
DB00240
DB00241
DB00242
DB00243
DB00244
DB00245
DB00246
DB00248
DB00250
DB00251
DB00252
DB00253
DB00254
DB00257
DB00258
DB00259
DB00261
DB00262
DB00263
DB00264
DB00268
DB00270
DB00273
DB00275
DB00276
DB00277
DB00278
DB00279
DB00280
DB00281
DB00282
DB00283
DB00284
DB00285
DB00286
DB00287
DB00288
DB00289
DB00290
DB00291
DB00293
DB00295
DB00296
DB00297
DB00299
DB00300
DB00302
DB00303
DB00305
DB00308
DB00310
DB00312
DB00313
DB00314
DB00315
DB00316
DB00318
DB00319
DB00320
DB00321
DB00323
DB00324
DB00325
DB00327
DB00328
DB00330
DB00331
DB00332
DB00333
DB00334
DB00335
DB00337
DB00338
DB00339
DB00341
DB00343
DB00344
DB00345
DB00346
DB00347
DB00348
DB00349
DB00350
DB00351
DB00352
DB00353
DB00355
DB00356
DB00358
DB00359
DB00360
DB00361
DB00362
DB00363
DB00364
DB00366
DB00367
DB00368
DB00369
DB00370
DB00371
DB00373
DB00375
DB00376
DB00377
DB00379
DB00380
DB00381
DB00384
DB00387
DB00388
DB00390
DB00392
DB00394
DB00395
DB00396
DB00398
DB00399
DB00400
DB00401
DB00402
DB00404
DB00405
DB00406
DB00408
DB00410
DB00411
DB00412
DB00413
DB00415
DB00417
DB00418
DB00419
DB00421
DB00422
DB00423
DB00424
DB00425
DB00426
DB00427
DB00431
DB00432
DB00433
DB00434
DB00435
DB00436
DB00437
DB00438
DB00440
DB00442
DB00443
DB00446
DB00448
DB00449
DB00450
DB00451
DB00452
DB00455
DB00457
DB00458
DB00459
DB00460
DB00461
DB00462
DB00465
DB00468
DB00469
DB00470
DB00471
DB00472
DB00475
DB00476
DB00477
DB00478
DB00479
DB00480
DB00481
DB00482
DB00484
DB00485
DB00488
DB00489
DB00490
DB00491
DB00492
DB00493
DB00494
DB00495
DB00496
DB00497
DB00499
DB00500
DB00501
DB00502
DB00503
DB00507
DB00512
DB00513
DB00514
DB00515
DB00518
DB00519
DB00520
DB00521
DB00524
DB00525
DB00526
DB00527
DB00529
DB00530
DB00531
DB00535
DB00536
DB00537
DB00539
DB00540
DB00541
DB00542
DB00543
DB00544
DB00545
DB00547
DB00548
DB00549
DB00550
DB00551
DB00552
DB00554
DB00555
DB00557
DB00558
DB00560
DB00561
DB00563
DB00564
DB00566
DB00567
DB00569
DB00570
DB00571
DB00572
DB00573
DB00575
DB00577
DB00580
DB00581
DB00582
DB00583
DB00584
DB00585
DB00586
DB00588
DB00590
DB00591
DB00593
DB00594
DB00596
DB00598
DB00601
DB00602
DB00603
DB00605
DB00607
DB00608
DB00609
DB00611
DB00612
